UserId,ItemId
0,2422 13 3202 1430 1020 398 2470 1343 2444 1195 1656 2977 1883 2350 1575 331 2885 2652 2919 2127 2714 971 1602 361 475 2320 2022 1784 2700 2522 589 2757 465 2159 170 694 68 637 1770 443 644 2562 1533 45 865 1046 266 598 958 471
1,2464 275 767 719 2463 1443 1386 1197 1185 706 1956 1357 1325 3041 2024 1648 2902 3236 231 1023 609 2710 1193 1681 2007 2750 384 167 2809 2537 2940 3209 2179 1121 96 2541 517 3127 2616 2306 2180 3237 720 1307 714 2359 2713 157 2066 1875
2,2151 1956 2757 633 1447 2460 938 589 1923 702 3209 2726 2684 2357 2940 14 2127 2841 2537 2464 803 1307 116 2171 3022 1357 1371 1410 1348 3078 2035 479 470 942 1539 697 987 1922 1925 2664 167 2312 2770 361 2937 1200 1060 1722 1857 2541
3,1159 3226 2012 691 865 2574 1135 578 18 275 1681 1423 1840 719 3158 654 1784 1455 3148 3035 1131 522 763 92 1193 2404 2224 2835 1443 2312 2940 2502 1959 1262 698 325 1593 2541 2125 1059 780 2526 1185 15 491 1662 1648 2464 573 3038
4,2734 2837 164 1684 3040 2323 2889 2193 437 669 1795 613 981 2494 2172 2705 741 2661 429 96 2115 538 2521 616 3008 2117 2902 2638 1858 1770 2283 3046 1891 2385 2470 384 856 505 1650 1964 2281 1635 2990 1154 1132 1790 1768 2985 2504 1317
5,3158 1518 2804 448 1430 682 84 2210 2841 2747 1474 299 2337 471 2594 358 313 128 1006 1218 2306 539 2262 122 496 1868 186 2312 2014 2546 865 1200 697 2664 1340 689 239 1593 3209 1456 1005 1028 1203 2602 959 1185 3206 1659 551 2464
6,1907 2205 255 266 2885 1956 3088 2488 944 837 85 2024 364 1922 2750 333 497 3218 1386 370 1593 282 2883 1095 2770 465 899 114 1818 2840 868 663 796 2035 1423 2958 3209 1566 241 3236 2855 1059 3089 1474 521 1443 2444 786 2448 3091
7,295 811 2966 1784 2921 443 1022 358 960 2117 1119 2466 231 157 1412 2385 2128 489 2977 1365 1761 328 3186 2551 2902 2319 1054 1868 2007 2115 1088 1696 2006 334 2521 1002 2837 364 1004 1115 2525 2463 2065 3030 1861 1325 335 1765 2555 1567
8,2638 294 3079 1556 2351 2022 1298 1268 1770 1195 505 231 1386 1415 2652 2350 1034 2810 2767 1568 2822 465 2320 2688 115 981 538 1197 2805 517 1521 2455 856 1614 719 1594 2464 346 847 2832 1567 2631 783 366 1720 2976 1125 1132 1307 613
9,2089 1325 2455 847 723 3037 75 3206 2508 1677 546 3041 3142 1006 655 1028 372 2959 706 1017 719 2173 2902 1185 3152 1853 2070 277 490 2887 3156 3176 1518 1150 3 1478 938 2979 169 676 4 1179 714 1765 1896 264 2786 110 170 2971
10,1755 1198 3209 776 799 1336 1544 2068 583 2458 1421 2403 3178 2250 3107 1155 2683 950 1314 2190 236 2441 1221 144 1405 1200 1889 2144 2734 1585 2385 103 300 1964 1770 1975 1245 2413 222 1875 2932 2885 1792 472 3078 1178 1322 346 36 1203
11,488 2286 468 122 410 422 2649 2962 2932 2666 868 1040 3148 538 2933 2964 439 2179 2977 255 991 275 702 706 1001 738 2963 1197 92 1127 1722 1060 2274 845 2541 239 3209 115 3049 2080 233 1795 2105 1991 1185 292 1591 2616 745 2782
12,966 1710 3140 114 908 13 589 2724 1656 2094 333 2454 1969 1988 838 1917 1260 1022 370 62 892 1591 2770 937 1389 919 1697 3239 938 2737 2458 1195 2269 1237 2115 1215 1112 3062 3114 766 2344 899 3236 2139 475 1320 2514 240 1405 84
13,1975 603 692 2832 155 1474 1010 242 2470 1635 2474 1129 938 1602 1760 924 987 1268 113 302 1224 1575 1697 1154 3236 593 751 2631 405 1082 642 1861 2858 1316 734 856 3196 779 1781 426 2129 2606 553 2111 2329 1383 64 1242 2767 2196
14,140 115 1496 738 2521 1680 1480 199 590 905 2164 2235 595 64 2626 2350 2789 2428 91 2163 868 1852 2385 2147 2431 2182 1239 1142 704 2811 2307 1213 1864 1690 987 1964 1558 1602 1055 2338 1154 2786 2470 448 186 1941 3064 328 2696 346
15,2533 312 338 728 959 3179 3199 2470 294 2852 870 2685 1314 51 2973 2627 803 2320 2741 1663 1402 2057 1218 2688 2179 2340 2515 356 1575 2022 1386 1634 1264 3248 2111 2661 727 2082 1762 2351 571 2946 1353 988 3218 2652 3213 958 1465 2350
