UserId,ItemId
0,3244 1018 284 1575 662 1664 1672 211 1977 1281 2122 2970 267 1800 1323 2645 865 1205 2521 1915 571 2921 167 1715 396 3071 594 960 2766 2022 644 505 704 243 1579 1365 2193 2661 465 2710 619 1325 676 3037 1720 2206 938 1352 471 2070
1,2661 423 1513 2940 719 2537 2463 3049 275 2942 2198 1591 2350 637 1695 644 960 1720 814 1681 1880 1754 2384 950 2603 2338 2809 2464 229 1185 698 489 1958 1761 1474 1307 349 2055 2933 2845 2176 1309 2283 384 1386 2880 1290 2666 1001 1443
2,1295 1307 1119 515 363 2127 361 1034 491 706 214 3237 2351 842 296 856 1076 59 609 1942 2447 3144 517 644 2066 2006 1237 232 385 3139 2541 655 2603 1857 958 2208 431 1396 1343 181 3041 1290 1770 719 1060 663 3189 422 170 2608
3,1737 1210 1396 381 521 3189 470 2649 958 100 1498 2958 1722 2182 1281 2652 526 2393 2320 936 366 1447 738 2750 488 1999 1748 1818 1026 2088 788 987 2044 755 1432 2240 2544 2279 938 2819 1348 2179 803 2754 2726 1402 1239 2937 296 1197
4,505 1088 2902 1881 629 1604 2036 2117 3049 239 613 676 2845 337 907 1855 1770 1652 370 1964 111 417 598 1203 2614 1048 1154 97 3103 2821 2391 3146 2431 376 836 2006 1446 3107 2147 837 1615 981 734 2885 372 1215 2514 332 471 856
5,2607 3162 1677 1930 1765 363 2371 1119 13 1773 863 2608 3140 2460 2154 2122 1339 2155 443 2705 1019 2113 1909 2276 2338 2297 471 2841 56 423 2480 122 651 12 2514 2002 2101 3158 2259 2934 1792 1781 222 3220 801 1430 2944 2407 2633 2661
6,1686 2957 362 517 2883 3059 157 1964 1299 803 938 2652 1141 1117 2714 2428 1498 1410 1991 910 1612 2878 3243 2262 2000 2295 535 2413 2147 1386 2799 2546 2055 166 2151 497 2666 229 808 2976 2885 2794 48 2351 1046 1317 1494 2937 1873 1129
7,1761 332 1969 2117 458 3221 1057 370 2701 865 2878 2782 97 443 157 2159 1977 1868 358 838 426 1418 1520 2464 820 2525 2152 2160 147 1167 2006 2306 292 3237 2077 2105 1784 92 2338 1840 1195 2466 1026 1421 2134 1000 1648 1567 2551 1150
8,3031 1994 719 3147 2455 1573 505 3059 231 981 2805 2127 1770 2837 1656 2232 1156 1715 834 489 1125 1722 847 3189 151 2855 1281 685 234 783 2380 1558 2902 655 2306 1226 2392 712 2351 1020 486 1103 358 2910 2387 1556 2320 458 2007 1920
9,1115 1614 2007 490 2115 1695 1828 998 892 2455 1325 294 1125 13 976 1720 372 428 1200 1324 1129 2700 1556 1317 2795 402 161 370 1412 3040 1365 2810 3162 3220 3035 2902 919 741 170 935 1351 2055 1521 384 115 2100 1853 1346 905 538
